level,name,novelty_factor
genus,Nemogullmia,inf
genus,Dino-Group-II-Clade-21_X,inf
genus,Diplophrys,inf
genus,Amphitrema,inf
genus,Encentrum,inf
genus,Petalomonas,inf
genus,MAST-12C,inf
genus,Paracalanus,inf
genus,Gregarinomorphea.U.genus,inf
genus,Allobodo,inf
genus,Eudiaptomus,inf
genus,Polychaos,inf
genus,Cercomonadidae_X,inf
genus,Leohumicola,inf
genus,OLIGO2_X,inf
genus,Rigifila,inf
genus,Dino-Group-II_XX,inf
genus,Micronuclearia,inf
genus,Plagiostomum,inf
genus,Tetrachaetum,inf
genus,Tobrilus,inf
genus,Nucleariidae_Nuclearia_2_X,inf
genus,Chloroparva,inf
genus,Notosolenus,inf
genus,Pterocystida_XXX,inf
genus,Reophax,inf
genus,Trepomonas,inf
genus,Vampyrella,inf
genus,Astrorhiza,inf
genus,Evaginogenida_X,inf
genus,Plectonchus,inf
genus,Ventrifissura,inf
genus,Prodesmodora,inf
genus,Thaumatomonas,inf
genus,LKM74-lineage_X,inf
genus,Clavicaudoides,inf
genus,ARMOP1_X,inf
genus,Ascomorpha,inf
genus,Cryptodifflugia,inf
genus,Eimeriida.U.genus,inf
genus,Nematostelium,inf
genus,Pseudovorticella,inf
genus,Sandona,inf
genus,epibiont,inf
genus,Ripidomyxa,inf
genus,Penthaleus,inf
genus,Novel-Clade-4_X,inf
genus,Metridia,inf
genus,Guepiniopsis,inf
genus,Hyplorynchus,inf
genus,Cryptococcus,inf
genus,Choanocystis,inf
genus,Centropages,inf
genus,Actinosphaerium,inf
genus,Cryomonadida.U.genus,inf
genus,OLIGO5_XX,inf
genus,Rhynchomonas,inf
genus,Protaspa,inf
genus,Parhypochthonius,inf
genus,Paradinida_XX,inf
genus,Paracercomonas,inf
genus,Mataza-lineage_X,inf
genus,Limnofilidae_X,inf
genus,Diaphanosoma,inf
genus,Cyclops,inf
genus,CCW10-lineage_X,inf
genus,Bosmina,inf
genus,Anomalocera,inf
genus,Hartmannulidae_X,inf
genus,Protacanthamoeba,inf
genus,NC12B-lineage_X,inf
genus,MAST-3E,inf
genus,Loimia,inf
genus,Spermatozopsis,inf
genus,Filosa-Thecofilosea_XXX,inf
genus,Allantion,inf
genus,Adelina,inf
genus,Acanthopodida.U.genus,inf
genus,Ceratium,inf
genus,Glissomonadida_XX,inf
genus,Thaumatomonadida_XX,inf
genus,Sphaerozoum,inf
